ds,y
2017-01-01,2144.0
2017-02-01,452.0
2017-03-01,2395.0
2017-04-01,1410.0
2017-05-01,3380.0
2017-06-01,797.0
2017-07-01,1365.0
2017-08-01,3349.0
2017-09-01,2949.0
2017-10-01,2819.0
2017-11-01,3729.0
2017-12-01,866.0
2018-01-01,1050.0
2018-02-01,1375.0
2018-03-01,4986.0
2018-04-01,1325.0
2018-05-01,1385.0
2018-06-01,2171.0
2018-07-01,2474.0
2018-08-01,1189.0
2018-09-01,1410.0
2018-10-01,2542.0
2018-11-01,642.0
2018-12-01,525.0
2019-01-01,652.0
2019-02-01,2112.0
2019-03-01,5254.0
2019-04-01,605.0
2019-05-01,6527.0
2019-06-01,446.0
2019-07-01,2047.0
2019-08-01,3739.0
2019-09-01,1537.0
2019-10-01,853.0
2019-11-01,2984.0
2019-12-01,1250.0
2020-01-01,3959.0
2020-02-01,3123.0
2020-03-01,3620.0
2020-04-01,1893.0
2020-05-01,1031.0
2020-06-01,2063.0
2020-07-01,4169.0
2020-08-01,534.0
2020-09-01,1992.0
2020-10-01,729.0
2020-11-01,2681.0
2020-12-01,543.0
