ds,y
2017-01-01,4129.0
2017-02-01,1625.0
2017-03-01,2593.0
2017-04-01,1974.0
2017-05-01,865.0
2017-06-01,2274.0
2017-07-01,7950.0
2017-08-01,2135.0
2017-09-01,1504.0
2017-10-01,930.0
2017-11-01,392.0
2017-12-01,228.0
2018-01-01,2777.0
2018-02-01,2525.4
2018-03-01,2569.0
2018-04-01,4406.0
2018-05-01,3184.0
2018-06-01,2136.0
2018-07-01,823.0
2018-08-01,1383.0
2018-09-01,11883.0
2018-10-01,4681.0
2018-11-01,11181.0
2018-12-01,1851.0
2019-01-01,596.0
2019-02-01,949.0
2019-03-01,4581.0
2019-04-01,2492.0
2019-05-01,1784.0
2019-06-01,3075.0
2019-07-01,2554.0
2019-08-01,1305.0
2019-09-01,1337.0
2019-10-01,2181.0
2019-11-01,-941.0
2019-12-01,231.0
2020-01-01,1077.0
2020-02-01,2021.0
2020-03-01,381.0
2020-04-01,1172.0
2020-05-01,2366.0
2020-06-01,928.0
2020-07-01,1798.0
2020-08-01,10723.0
2020-09-01,2675.0
2020-10-01,619.0
2020-11-01,2646.0
2020-12-01,4390.0
