ds,y
2017-01-01,1608.0
2017-02-01,-330.0
2017-03-01,843.0
2017-04-01,1350.0
2017-05-01,1270.0
2017-06-01,1365.0
2017-07-01,759.0
2017-08-01,996.0
2017-09-01,3646.0
2017-10-01,3535.0
2017-11-01,727.0
2017-12-01,1535.0
2018-01-01,1322.0
2018-02-01,2539.0
2018-03-01,3322.0
2018-04-01,1091.0
2018-05-01,584.0
2018-06-01,14216.0
2018-07-01,3986.0
2018-08-01,1775.0
2018-09-01,1531.0
2018-10-01,3363.0
2018-11-01,1978.0
2018-12-01,2430.0
2019-01-01,1369.0
2019-02-01,2324.0
2019-03-01,1326.0
2019-04-01,849.0
2019-05-01,161.0
2019-06-01,496.0
2019-07-01,1449.0
2019-08-01,1635.0
2019-09-01,1047.0
2019-10-01,3510.0
2019-11-01,1198.0
2019-12-01,508.0
2020-01-01,523.0
2020-02-01,2682.0
2020-03-01,1488.0
2020-04-01,1393.0
2020-05-01,1977.0
2020-06-01,792.0
2020-07-01,2447.0
2020-08-01,2640.0
2020-09-01,5058.0
2020-10-01,984.0
2020-11-01,6117.0
2020-12-01,1604.0
