ds,y
2017-01-01,346.0
2017-02-01,3238.0
2017-03-01,3145.0
2017-04-01,3767.0
2017-05-01,1539.0
2017-06-01,1331.0
2017-07-01,1288.0
2017-08-01,7683.0
2017-09-01,855.0
2017-10-01,755.0
2017-11-01,1302.0
2017-12-01,687.0
2018-01-01,2331.0
2018-02-01,2406.0
2018-03-01,2650.0
2018-04-01,2182.0
2018-05-01,1836.0
2018-06-01,2397.0
2018-07-01,2401.0
2018-08-01,2464.0
2018-09-01,1128.0
2018-10-01,1926.0
2018-11-01,2428.0
2018-12-01,1529.0
2019-01-01,570.0
2019-02-01,852.0
2019-03-01,1437.0
2019-04-01,17182.0
2019-05-01,2648.0
2019-06-01,1621.0
2019-07-01,1108.0
2019-08-01,19026.0
2019-09-01,6858.0
2019-10-01,478.0
2019-11-01,3770.0
2019-12-01,802.0
2020-01-01,1386.0
2020-02-01,807.0
2020-03-01,2235.0
2020-04-01,573.0
2020-05-01,2128.0
2020-06-01,1949.0
2020-07-01,1381.0
2020-08-01,425.0
2020-09-01,1683.0
2020-10-01,1460.0
2020-11-01,796.0
2020-12-01,1407.0
