ds,y
2017-01-01,810.0
2017-02-01,1165.0
2017-03-01,951.0
2017-04-01,594.0
2017-05-01,1654.0
2017-06-01,950.0
2017-07-01,1489.0
2017-08-01,1131.0
2017-09-01,715.0
2017-10-01,3064.0
2017-11-01,2517.0
2017-12-01,298.0
2018-01-01,6752.0
2018-02-01,5303.0
2018-03-01,2328.0
2018-04-01,11154.0
2018-05-01,1727.0
2018-06-01,4579.0
2018-07-01,3642.0
2018-08-01,1199.0
2018-09-01,4967.0
2018-10-01,2441.0
2018-11-01,1616.0
2018-12-01,1468.0
2019-01-01,638.0
2019-02-01,7667.0
2019-03-01,675.0
2019-04-01,811.0
2019-05-01,508.0
2019-06-01,647.0
2019-07-01,1863.0
2019-08-01,582.0
2019-09-01,449.0
2019-10-01,2680.0
2019-11-01,2438.0
2019-12-01,489.0
2020-01-01,992.0
2020-02-01,1641.0
2020-03-01,1531.0
2020-04-01,1368.0
2020-05-01,3157.0
2020-06-01,1135.0
2020-07-01,6599.0
2020-08-01,2116.0
2020-09-01,1731.0
2020-10-01,2911.0
2020-11-01,1695.0
2020-12-01,6196.0
