ds,y
2017-01-01,2472.0
2017-02-01,6782.0
2017-03-01,1948.0
2017-04-01,5108.0
2017-05-01,1006.0
2017-06-01,1130.0
2017-07-01,1072.0
2017-08-01,1527.0
2017-09-01,1882.0
2017-10-01,1428.0
2017-11-01,2478.0
2017-12-01,2080.0
2018-01-01,3840.0
2018-02-01,2993.0
2018-03-01,3172.0
2018-04-01,7680.0
2018-05-01,2752.0
2018-06-01,1493.0
2018-07-01,2077.0
2018-08-01,1780.0
2018-09-01,6228.0
2018-10-01,2541.0
2018-11-01,943.0
2018-12-01,820.0
2019-01-01,1513.0
2019-02-01,1082.0
2019-03-01,1051.0
2019-04-01,2490.0
2019-05-01,2688.0
2019-06-01,1999.0
2019-07-01,2592.0
2019-08-01,1441.0
2019-09-01,1576.0
2019-10-01,778.0
2019-11-01,906.0
2019-12-01,291.0
2020-01-01,1285.0
2020-02-01,1936.0
2020-03-01,1361.0
2020-04-01,5691.0
2020-05-01,2070.0
2020-06-01,1663.0
2020-07-01,465.0
2020-08-01,1295.0
2020-09-01,1475.0
2020-10-01,1179.0
2020-11-01,4433.0
2020-12-01,2316.0
