ds,y
2017-01-01,850.0
2017-02-01,3775.0
2017-03-01,275.0
2017-04-01,3163.0
2017-05-01,1372.0
2017-06-01,3662.0
2017-07-01,1665.0
2017-08-01,3350.0
2017-09-01,1785.0
2017-10-01,763.0
2017-11-01,656.0
2017-12-01,2145.0
2018-01-01,1096.0
2018-02-01,2970.0
2018-03-01,3288.0
2018-04-01,1360.0
2018-05-01,1980.0
2018-06-01,3072.0
2018-07-01,1911.0
2018-08-01,986.0
2018-09-01,5756.0
2018-10-01,3609.0
2018-11-01,2360.0
2018-12-01,1024.0
2019-01-01,464.0
2019-02-01,2084.0
2019-03-01,1641.0
2019-04-01,23056.0
2019-05-01,1439.0
2019-06-01,973.0
2019-07-01,2377.0
2019-08-01,801.0
2019-09-01,988.0
2019-10-01,1996.0
2019-11-01,1934.0
2019-12-01,3942.0
2020-01-01,2252.0
2020-02-01,1422.0
2020-03-01,811.0
2020-04-01,1480.0
2020-05-01,1693.0
2020-06-01,5452.0
2020-07-01,2044.0
2020-08-01,1875.0
2020-09-01,1213.0
2020-10-01,1021.0
2020-11-01,1636.0
2020-12-01,722.0
