ds,y
2017-01-01,520.0
2017-02-01,2017.0
2017-03-01,3325.0
2017-04-01,1417.0
2017-05-01,1023.0
2017-06-01,1350.0
2017-07-01,1622.0
2017-08-01,2836.0
2017-09-01,3328.0
2017-10-01,810.0
2017-11-01,6657.0
2017-12-01,633.0
2018-01-01,1768.0
2018-02-01,1145.0
2018-03-01,8349.0
2018-04-01,1231.0
2018-05-01,2707.0
2018-06-01,5538.0
2018-07-01,5736.0
2018-08-01,939.0
2018-09-01,2369.0
2018-10-01,5322.0
2018-11-01,10095.0
2018-12-01,308.0
2019-01-01,1109.0
2019-02-01,1138.0
2019-03-01,1860.0
2019-04-01,956.0
2019-05-01,2124.0
2019-06-01,960.0
2019-07-01,464.0
2019-08-01,1802.0
2019-09-01,3948.0
2019-10-01,6779.0
2019-11-01,731.0
2019-12-01,818.0
2020-01-01,1204.0
2020-02-01,1899.0
2020-03-01,3417.0
2020-04-01,841.0
2020-05-01,1454.0
2020-06-01,4111.0
2020-07-01,4974.0
2020-08-01,1362.0
2020-09-01,1683.0
2020-10-01,475.0
2020-11-01,2114.0
2020-12-01,1841.0
