ds,y
2017-01-01,1016.0
2017-02-01,2958.0
2017-03-01,943.0
2017-04-01,141.0
2017-05-01,322.0
2017-06-01,8509.0
2017-07-01,3434.0
2017-08-01,1875.0
2017-09-01,2990.0
2017-10-01,671.0
2017-11-01,1585.0
2017-12-01,1213.0
2018-01-01,2338.0
2018-02-01,1237.0
2018-03-01,5243.0
2018-04-01,1388.0
2018-05-01,6719.0
2018-06-01,2717.0
2018-07-01,1605.0
2018-08-01,3912.0
2018-09-01,2368.0
2018-10-01,5092.0
2018-11-01,3427.0
2018-12-01,1000.0
2019-01-01,92.0
2019-02-01,658.0
2019-03-01,1433.0
2019-04-01,1725.0
2019-05-01,1954.0
2019-06-01,2665.0
2019-07-01,1407.0
2019-08-01,954.0
2019-09-01,726.0
2019-10-01,2594.0
2019-11-01,243.0
2019-12-01,399.0
2020-01-01,1927.0
2020-02-01,919.0
2020-03-01,1123.0
2020-04-01,3352.0
2020-05-01,3325.0
2020-06-01,1861.0
2020-07-01,1914.0
2020-08-01,4027.0
2020-09-01,772.0
2020-10-01,568.0
2020-11-01,1713.0
2020-12-01,2552.0
