ds,y
2017-01-01,1142.0
2017-02-01,5427.0
2017-03-01,926.0
2017-04-01,614.0
2017-05-01,3885.0
2017-06-01,4473.0
2017-07-01,822.0
2017-08-01,1541.0
2017-09-01,1217.0
2017-10-01,1609.0
2017-11-01,1686.0
2017-12-01,8660.0
2018-01-01,1929.0
2018-02-01,2728.0
2018-03-01,12044.0
2018-04-01,3591.0
2018-05-01,2396.0
2018-06-01,2796.0
2018-07-01,2919.0
2018-08-01,2557.0
2018-09-01,850.0
2018-10-01,5637.0
2018-11-01,2594.0
2018-12-01,1667.0
2019-01-01,910.0
2019-02-01,3284.0
2019-03-01,3567.0
2019-04-01,571.0
2019-05-01,922.0
2019-06-01,2345.0
2019-07-01,2050.0
2019-08-01,2416.0
2019-09-01,2707.0
2019-10-01,687.0
2019-11-01,2989.0
2019-12-01,531.0
2020-01-01,636.0
2020-02-01,855.0
2020-03-01,3108.0
2020-04-01,904.0
2020-05-01,1533.0
2020-06-01,3698.0
2020-07-01,1740.0
2020-08-01,1914.0
2020-09-01,2860.0
2020-10-01,711.0
2020-11-01,1169.0
2020-12-01,6412.0
