ds,y
2017-01-01,888.0
2017-02-01,3817.0
2017-03-01,1851.0
2017-04-01,1548.0
2017-05-01,1009.0
2017-06-01,892.0
2017-07-01,1522.0
2017-08-01,3911.0
2017-09-01,1479.0
2017-10-01,2289.0
2017-11-01,1142.0
2017-12-01,443.0
2018-01-01,1300.0
2018-02-01,2603.0
2018-03-01,6316.0
2018-04-01,1233.0
2018-05-01,383.0
2018-06-01,3671.0
2018-07-01,984.0
2018-08-01,2627.0
2018-09-01,4883.0
2018-10-01,2852.0
2018-11-01,674.0
2018-12-01,805.0
2019-01-01,2987.0
2019-02-01,3308.0
2019-03-01,892.0
2019-04-01,2532.0
2019-05-01,874.0
2019-06-01,4466.0
2019-07-01,3811.0
2019-08-01,2312.0
2019-09-01,1080.0
2019-10-01,9057.0
2019-11-01,515.0
2019-12-01,847.0
2020-01-01,529.0
2020-02-01,999.0
2020-03-01,1224.0
2020-04-01,2863.0
2020-05-01,3097.0
2020-06-01,4535.0
2020-07-01,6881.0
2020-08-01,1600.0
2020-09-01,2548.0
2020-10-01,3327.0
2020-11-01,31072.0
2020-12-01,3261.0
