ds,y
2017-01-01,361.0
2017-02-01,1353.0
2017-03-01,547.0
2017-04-01,1191.0
2017-05-01,2745.0
2017-06-01,1771.0
2017-07-01,1894.0
2017-08-01,2048.0
2017-09-01,966.0
2017-10-01,717.0
2017-11-01,1647.0
2017-12-01,714.0
2018-01-01,2848.0
2018-02-01,396.0
2018-03-01,6975.0
2018-04-01,2822.0
2018-05-01,927.0
2018-06-01,1031.0
2018-07-01,3681.0
2018-08-01,3262.0
2018-09-01,1969.0
2018-10-01,5366.0
2018-11-01,1102.0
2018-12-01,2423.0
2019-01-01,293.0
2019-02-01,807.0
2019-03-01,898.0
2019-04-01,506.0
2019-05-01,3546.0
2019-06-01,1708.0
2019-07-01,3638.0
2019-08-01,1203.0
2019-09-01,343.0
2019-10-01,586.0
2019-11-01,3860.0
2019-12-01,711.0
2020-01-01,2665.0
2020-02-01,898.0
2020-03-01,3413.0
2020-04-01,862.0
2020-05-01,711.0
2020-06-01,2680.0
2020-07-01,556.0
2020-08-01,1898.0
2020-09-01,3524.0
2020-10-01,190.0
2020-11-01,683.0
2020-12-01,1772.0
