ds,y
2017-01-01,428.0
2017-02-01,1170.0
2017-03-01,1148.0
2017-04-01,908.0
2017-05-01,728.0
2017-06-01,2949.0
2017-07-01,7122.0
2017-08-01,959.0
2017-09-01,853.0
2017-10-01,745.0
2017-11-01,3816.0
2017-12-01,1329.0
2018-01-01,1097.0
2018-02-01,3279.0
2018-03-01,840.0
2018-04-01,1850.0
2018-05-01,2508.0
2018-06-01,4767.0
2018-07-01,1243.0
2018-08-01,1239.0
2018-09-01,5202.0
2018-10-01,2841.0
2018-11-01,437.0
2018-12-01,1195.0
2019-01-01,2141.0
2019-02-01,1031.0
2019-03-01,3300.0
2019-04-01,2474.0
2019-05-01,2517.0
2019-06-01,1221.0
2019-07-01,834.0
2019-08-01,1258.0
2019-09-01,1173.0
2019-10-01,450.0
2019-11-01,1561.0
2019-12-01,285.0
2020-01-01,2154.0
2020-02-01,1023.0
2020-03-01,1143.0
2020-04-01,217.0
2020-05-01,2112.0
2020-06-01,1161.0
2020-07-01,855.0
2020-08-01,723.0
2020-09-01,1366.0
2020-10-01,153.0
2020-11-01,4080.0
2020-12-01,1739.0
