ds,y
2017-01-01,1157.0
2017-02-01,2419.0
2017-03-01,4690.0
2017-04-01,666.0
2017-05-01,912.0
2017-06-01,2557.0
2017-07-01,1704.0
2017-08-01,824.0
2017-09-01,1597.0
2017-10-01,415.0
2017-11-01,2052.0
2017-12-01,246.0
2018-01-01,11731.0
2018-02-01,2550.0
2018-03-01,3878.0
2018-04-01,2289.0
2018-05-01,975.0
2018-06-01,1854.0
2018-07-01,1767.0
2018-08-01,5630.0
2018-09-01,274.0
2018-10-01,1061.0
2018-11-01,3080.0
2018-12-01,2078.0
2019-01-01,454.0
2019-02-01,3880.0
2019-03-01,1679.0
2019-04-01,2218.0
2019-05-01,1818.0
2019-06-01,946.0
2019-07-01,583.0
2019-08-01,1767.0
2019-09-01,806.0
2019-10-01,1601.0
2019-11-01,259.0
2019-12-01,6193.0
2020-01-01,1354.0
2020-02-01,3815.0
2020-03-01,2732.0
2020-04-01,2523.0
2020-05-01,1967.0
2020-06-01,1083.0
2020-07-01,840.0
2020-08-01,237.0
2020-09-01,2458.0
2020-10-01,1554.0
2020-11-01,1007.0
2020-12-01,1950.0
