ds,y
2017-01-01,712.0
2017-02-01,444.0
2017-03-01,1384.0
2017-04-01,962.0
2017-05-01,3056.0
2017-06-01,1882.0
2017-07-01,1311.0
2017-08-01,933.0
2017-09-01,1417.0
2017-10-01,551.0
2017-11-01,1427.0
2017-12-01,3188.0
2018-01-01,742.0
2018-02-01,3028.0
2018-03-01,2848.0
2018-04-01,3370.0
2018-05-01,1331.0
2018-06-01,5892.0
2018-07-01,3352.0
2018-08-01,885.0
2018-09-01,2916.0
2018-10-01,2117.0
2018-11-01,17050.0
2018-12-01,1056.0
2019-01-01,2713.0
2019-02-01,821.0
2019-03-01,1260.0
2019-04-01,5010.0
2019-05-01,418.0
2019-06-01,1099.0
2019-07-01,3788.0
2019-08-01,1019.0
2019-09-01,2231.0
2019-10-01,12735.0
2019-11-01,1972.0
2019-12-01,1839.0
2020-01-01,2959.0
2020-02-01,-30.0
2020-03-01,219.0
2020-04-01,1214.0
2020-05-01,4971.0
2020-06-01,530.0
2020-07-01,2564.0
2020-08-01,1983.0
2020-09-01,1426.0
2020-10-01,611.0
2020-11-01,3387.0
2020-12-01,1523.0
