ds,y
2017-01-01,404.0
2017-02-01,3717.0
2017-03-01,1150.0
2017-04-01,1775.0
2017-05-01,741.0
2017-06-01,234.0
2017-07-01,1202.0
2017-08-01,704.0
2017-09-01,2582.0
2017-10-01,718.0
2017-11-01,1837.0
2017-12-01,903.0
2018-01-01,3615.0
2018-02-01,3497.0
2018-03-01,890.0
2018-04-01,940.0
2018-05-01,2390.0
2018-06-01,1747.0
2018-07-01,1778.0
2018-08-01,998.0
2018-09-01,1596.0
2018-10-01,2524.0
2018-11-01,1366.0
2018-12-01,2658.0
2019-01-01,579.0
2019-02-01,1779.0
2019-03-01,1244.0
2019-04-01,409.0
2019-05-01,1038.0
2019-06-01,1754.0
2019-07-01,4693.0
2019-08-01,675.0
2019-09-01,1081.0
2019-10-01,1384.0
2019-11-01,8457.0
2019-12-01,412.0
2020-01-01,3962.0
2020-02-01,6028.0
2020-03-01,785.0
2020-04-01,228.0
2020-05-01,1059.0
2020-06-01,1030.0
2020-07-01,1310.0
2020-08-01,1477.0
2020-09-01,4291.0
2020-10-01,941.0
2020-11-01,1663.0
2020-12-01,5423.0
