ds,y
2017-01-01,337.0
2017-02-01,1452.0
2017-03-01,1419.0
2017-04-01,7100.0
2017-05-01,2692.0
2017-06-01,1679.0
2017-07-01,1032.0
2017-08-01,2847.0
2017-09-01,1581.0
2017-10-01,2409.0
2017-11-01,16322.0
2017-12-01,846.0
2018-01-01,3928.0
2018-02-01,1682.0
2018-03-01,8340.0
2018-04-01,3002.0
2018-05-01,4151.0
2018-06-01,2529.0
2018-07-01,6556.0
2018-08-01,310.0
2018-09-01,3370.0
2018-10-01,2785.0
2018-11-01,2026.0
2018-12-01,1853.0
2019-01-01,454.0
2019-02-01,264.0
2019-03-01,906.0
2019-04-01,3249.0
2019-05-01,1775.0
2019-06-01,999.0
2019-07-01,757.0
2019-08-01,1659.0
2019-09-01,771.0
2019-10-01,3822.0
2019-11-01,4277.0
2019-12-01,206.0
2020-01-01,2706.0
2020-02-01,2575.0
2020-03-01,2523.0
2020-04-01,-260.0
2020-05-01,757.0
2020-06-01,891.0
2020-07-01,11168.0
2020-08-01,827.0
2020-09-01,709.0
2020-10-01,818.0
2020-11-01,777.0
2020-12-01,1388.0
