ds,y
2017-01-01,1034.0
2017-02-01,13112.0
2017-03-01,1619.0
2017-04-01,1251.0
2017-05-01,2121.0
2017-06-01,1099.0
2017-07-01,3480.0
2017-08-01,941.0
2017-09-01,3526.0
2017-10-01,2333.0
2017-11-01,627.0
2017-12-01,978.0
2018-01-01,914.0
2018-02-01,3820.0
2018-03-01,2423.0
2018-04-01,1318.0
2018-05-01,3503.0
2018-06-01,1467.0
2018-07-01,2808.0
2018-08-01,882.0
2018-09-01,3720.0
2018-10-01,3161.0
2018-11-01,2835.0
2018-12-01,1496.0
2019-01-01,386.0
2019-02-01,779.0
2019-03-01,797.0
2019-04-01,5628.0
2019-05-01,2771.0
2019-06-01,3498.0
2019-07-01,4142.0
2019-08-01,653.0
2019-09-01,2710.0
2019-10-01,644.0
2019-11-01,3175.0
2019-12-01,773.0
2020-01-01,4367.0
2020-02-01,3583.0
2020-03-01,3428.0
2020-04-01,1990.0
2020-05-01,715.0
2020-06-01,4090.0
2020-07-01,1673.0
2020-08-01,544.0
2020-09-01,1617.0
2020-10-01,709.0
2020-11-01,3989.0
2020-12-01,2183.0
