ds,y
2017-01-01,1185.0
2017-02-01,880.0
2017-03-01,914.0
2017-04-01,2521.0
2017-05-01,864.0
2017-06-01,19208.0
2017-07-01,1193.0
2017-08-01,859.0
2017-09-01,1886.0
2017-10-01,7296.0
2017-11-01,6264.0
2017-12-01,635.0
2018-01-01,1620.0
2018-02-01,2821.0
2018-03-01,2382.0
2018-04-01,6935.0
2018-05-01,3342.0
2018-06-01,2821.0
2018-07-01,42.0
2018-08-01,1754.0
2018-09-01,1212.0
2018-10-01,8906.0
2018-11-01,4022.0
2018-12-01,1146.0
2019-01-01,2815.0
2019-02-01,24596.0
2019-03-01,735.0
2019-04-01,1148.0
2019-05-01,1988.0
2019-06-01,3083.0
2019-07-01,1276.0
2019-08-01,1695.0
2019-09-01,4720.0
2019-10-01,1136.0
2019-11-01,1060.0
2019-12-01,1380.0
2020-01-01,894.0
2020-02-01,1184.0
2020-03-01,4513.0
2020-04-01,1447.0
2020-05-01,2510.0
2020-06-01,2591.0
2020-07-01,263.0
2020-08-01,1654.0
2020-09-01,3970.0
2020-10-01,253.0
2020-11-01,673.0
2020-12-01,1480.0
