ds,y
2017-01-01,732.0
2017-02-01,1146.0
2017-03-01,1020.0
2017-04-01,643.0
2017-05-01,21380.0
2017-06-01,1156.0
2017-07-01,1014.0
2017-08-01,280.0
2017-09-01,2746.0
2017-10-01,105.0
2017-11-01,2408.0
2017-12-01,1927.0
2018-01-01,933.0
2018-02-01,3102.0
2018-03-01,11657.0
2018-04-01,1834.0
2018-05-01,1065.0
2018-06-01,5337.0
2018-07-01,3290.0
2018-08-01,14707.0
2018-09-01,1882.0
2018-10-01,1717.0
2018-11-01,1748.0
2018-12-01,465.0
2019-01-01,1045.0
2019-02-01,3075.0
2019-03-01,1629.0
2019-04-01,1764.0
2019-05-01,1280.0
2019-06-01,1387.0
2019-07-01,428.0
2019-08-01,990.0
2019-09-01,731.0
2019-10-01,933.0
2019-11-01,4586.0
2019-12-01,628.0
2020-01-01,1924.0
2020-02-01,1896.0
2020-03-01,1573.0
2020-04-01,1554.0
2020-05-01,1017.0
2020-06-01,2481.0
2020-07-01,420.0
2020-08-01,768.0
2020-09-01,2972.0
2020-10-01,286.0
2020-11-01,3399.0
2020-12-01,1200.0
