ds,y
2017-01-01,2223.0
2017-02-01,1276.0
2017-03-01,3465.0
2017-04-01,1455.0
2017-05-01,2394.0
2017-06-01,667.0
2017-07-01,4660.0
2017-08-01,3689.0
2017-09-01,4272.0
2017-10-01,457.0
2017-11-01,754.0
2017-12-01,911.0
2018-01-01,379.0
2018-02-01,1734.0
2018-03-01,2545.0
2018-04-01,3101.0
2018-05-01,1842.0
2018-06-01,390.0
2018-07-01,2902.0
2018-08-01,7112.0
2018-09-01,782.0
2018-10-01,2399.0
2018-11-01,1519.0
2018-12-01,1449.0
2019-01-01,1036.0
2019-02-01,956.0
2019-03-01,2322.0
2019-04-01,3726.0
2019-05-01,982.0
2019-06-01,2959.0
2019-07-01,1892.0
2019-08-01,1007.0
2019-09-01,1718.0
2019-10-01,1779.0
2019-11-01,2204.0
2019-12-01,4556.0
2020-01-01,1344.0
2020-02-01,1247.0
2020-03-01,6249.0
2020-04-01,276.0
2020-05-01,1110.0
2020-06-01,3028.0
2020-07-01,5760.0
2020-08-01,458.0
2020-09-01,1731.0
2020-10-01,274.0
2020-11-01,817.0
2020-12-01,1340.0
