ds,y
2017-01-01,3228.0
2017-02-01,3248.0
2017-03-01,446.0
2017-04-01,3011.0
2017-05-01,1995.0
2017-06-01,362.0
2017-07-01,1729.0
2017-08-01,2314.0
2017-09-01,1430.0
2017-10-01,819.0
2017-11-01,8358.0
2017-12-01,1877.0
2018-01-01,1159.0
2018-02-01,3824.0
2018-03-01,1668.0
2018-04-01,3091.0
2018-05-01,1305.0
2018-06-01,1190.0
2018-07-01,2876.0
2018-08-01,1020.0
2018-09-01,1858.0
2018-10-01,4235.0
2018-11-01,3211.0
2018-12-01,1696.0
2019-01-01,177.0
2019-02-01,8162.0
2019-03-01,1436.0
2019-04-01,1144.0
2019-05-01,1816.0
2019-06-01,2047.0
2019-07-01,1057.0
2019-08-01,1178.0
2019-09-01,550.0
2019-10-01,362.0
2019-11-01,3927.0
2019-12-01,625.0
2020-01-01,1987.0
2020-02-01,3209.0
2020-03-01,1229.0
2020-04-01,1709.0
2020-05-01,1505.0
2020-06-01,2094.0
2020-07-01,3440.0
2020-08-01,1079.0
2020-09-01,3462.0
2020-10-01,822.0
2020-11-01,2551.0
2020-12-01,957.0
