ds,y
2017-01-01,873.0
2017-02-01,3731.0
2017-03-01,2706.0
2017-04-01,1688.0
2017-05-01,2157.0
2017-06-01,1047.0
2017-07-01,779.0
2017-08-01,1417.0
2017-09-01,2479.0
2017-10-01,1888.0
2017-11-01,1698.0
2017-12-01,2617.0
2018-01-01,1632.0
2018-02-01,3760.0
2018-03-01,1829.0
2018-04-01,1603.0
2018-05-01,761.0
2018-06-01,2082.0
2018-07-01,3440.0
2018-08-01,2360.0
2018-09-01,1926.0
2018-10-01,1263.0
2018-11-01,1459.0
2018-12-01,1215.0
2019-01-01,1421.0
2019-02-01,2909.0
2019-03-01,476.0
2019-04-01,5500.0
2019-05-01,1480.0
2019-06-01,1564.0
2019-07-01,14560.0
2019-08-01,31788.0
2019-09-01,4115.0
2019-10-01,1385.0
2019-11-01,8985.0
2019-12-01,170.0
2020-01-01,1319.0
2020-02-01,248.0
2020-03-01,1310.0
2020-04-01,-36.0
2020-05-01,790.0
2020-06-01,4340.0
2020-07-01,2163.0
2020-08-01,5115.0
2020-09-01,1064.0
2020-10-01,1001.0
2020-11-01,3240.0
2020-12-01,2078.0
