ds,y
2017-01-01,986.0
2017-02-01,-756.0
2017-03-01,3195.0
2017-04-01,1173.0
2017-05-01,9213.0
2017-06-01,5528.0
2017-07-01,4184.0
2017-08-01,1250.0
2017-09-01,736.0
2017-10-01,807.0
2017-11-01,3685.0
2017-12-01,2016.0
2018-01-01,1469.0
2018-02-01,1518.0
2018-03-01,1681.0
2018-04-01,1947.0
2018-05-01,8958.0
2018-06-01,2726.0
2018-07-01,1478.0
2018-08-01,3599.0
2018-09-01,2621.0
2018-10-01,5894.0
2018-11-01,735.0
2018-12-01,1469.0
2019-01-01,992.0
2019-02-01,1169.0
2019-03-01,1777.0
2019-04-01,408.0
2019-05-01,5303.0
2019-06-01,2500.0
2019-07-01,558.0
2019-08-01,2310.0
2019-09-01,884.0
2019-10-01,1009.0
2019-11-01,2621.0
2019-12-01,1118.0
2020-01-01,860.0
2020-02-01,3488.0
2020-03-01,1639.0
2020-04-01,2680.0
2020-05-01,1742.0
2020-06-01,12172.0
2020-07-01,1293.0
2020-08-01,2483.0
2020-09-01,1572.0
2020-10-01,425.0
2020-11-01,2378.0
2020-12-01,3083.0
