ds,y
2017-01-01,633.0
2017-02-01,3736.0
2017-03-01,1250.0
2017-04-01,3062.0
2017-05-01,694.0
2017-06-01,1775.0
2017-07-01,2539.0
2017-08-01,482.0
2017-09-01,3323.0
2017-10-01,1205.0
2017-11-01,2200.0
2017-12-01,3977.0
2018-01-01,2239.0
2018-02-01,4456.0
2018-03-01,2337.0
2018-04-01,3186.0
2018-05-01,2127.0
2018-06-01,2991.0
2018-07-01,2035.0
2018-08-01,1926.0
2018-09-01,861.0
2018-10-01,3058.0
2018-11-01,702.0
2018-12-01,505.0
2019-01-01,1712.0
2019-02-01,1911.0
2019-03-01,1106.0
2019-04-01,576.0
2019-05-01,1461.0
2019-06-01,781.0
2019-07-01,1411.0
2019-08-01,11820.0
2019-09-01,1626.0
2019-10-01,1190.0
2019-11-01,1598.0
2019-12-01,49521.0
2020-01-01,4786.0
2020-02-01,1114.0
2020-03-01,310.0
2020-04-01,237.0
2020-05-01,3597.0
2020-06-01,1169.0
2020-07-01,2341.0
2020-08-01,2178.0
2020-09-01,1203.0
2020-10-01,676.0
2020-11-01,2828.0
2020-12-01,5305.0
