ds,y
2017-01-01,1978.0
2017-02-01,978.0
2017-03-01,6448.0
2017-04-01,1143.0
2017-05-01,2282.0
2017-06-01,2989.0
2017-07-01,1447.0
2017-08-01,502.0
2017-09-01,1525.0
2017-10-01,1813.0
2017-11-01,1728.0
2017-12-01,2671.0
2018-01-01,2290.0
2018-02-01,2079.0
2018-03-01,763.0
2018-04-01,525.0
2018-05-01,1159.0
2018-06-01,1959.0
2018-07-01,9158.0
2018-08-01,33625.0
2018-09-01,1357.0
2018-10-01,3424.0
2018-11-01,2387.0
2018-12-01,1974.0
2019-01-01,118.0
2019-02-01,4242.0
2019-03-01,2761.0
2019-04-01,3142.0
2019-05-01,5179.0
2019-06-01,2631.0
2019-07-01,5391.0
2019-08-01,3150.0
2019-09-01,579.0
2019-10-01,1471.0
2019-11-01,4537.0
2019-12-01,1915.0
2020-01-01,858.0
2020-02-01,340.0
2020-03-01,3181.0
2020-04-01,1327.0
2020-05-01,1874.0
2020-06-01,1121.0
2020-07-01,2003.0
2020-08-01,3352.0
2020-09-01,3369.0
2020-10-01,2350.0
2020-11-01,3569.0
2020-12-01,715.0
