ds,y
2017-01-01,246.0
2017-02-01,2759.0
2017-03-01,1743.0
2017-04-01,4346.0
2017-05-01,1198.0
2017-06-01,1564.0
2017-07-01,1240.0
2017-08-01,1388.0
2017-09-01,1717.0
2017-10-01,2148.0
2017-11-01,2241.0
2017-12-01,1185.0
2018-01-01,3613.0
2018-02-01,3235.0
2018-03-01,2472.0
2018-04-01,954.0
2018-05-01,1744.0
2018-06-01,700.0
2018-07-01,3465.0
2018-08-01,1584.0
2018-09-01,2767.0
2018-10-01,4829.0
2018-11-01,420.0
2018-12-01,1848.0
2019-01-01,362.0
2019-02-01,510.0
2019-03-01,1521.0
2019-04-01,5675.0
2019-05-01,1250.0
2019-06-01,562.0
2019-07-01,3447.0
2019-08-01,3220.0
2019-09-01,370.0
2019-10-01,225.0
2019-11-01,565.0
2019-12-01,3657.0
2020-01-01,1540.0
2020-02-01,5069.0
2020-03-01,865.0
2020-04-01,1463.0
2020-05-01,3009.0
2020-06-01,1700.0
2020-07-01,321.0
2020-08-01,767.0
2020-09-01,1390.0
2020-10-01,2063.0
2020-11-01,5036.0
2020-12-01,3093.0
