ds,y
2017-01-01,1405.0
2017-02-01,7864.0
2017-03-01,3369.0
2017-04-01,2688.0
2017-05-01,2131.0
2017-06-01,1481.0
2017-07-01,1482.0
2017-08-01,1635.0
2017-09-01,414.0
2017-10-01,1016.0
2017-11-01,423.0
2017-12-01,1418.0
2018-01-01,720.0
2018-02-01,2298.0
2018-03-01,2846.0
2018-04-01,1893.0
2018-05-01,549.0
2018-06-01,3905.0
2018-07-01,1177.0
2018-08-01,1566.0
2018-09-01,4080.0
2018-10-01,4615.0
2018-11-01,3233.0
2018-12-01,3280.0
2019-01-01,2809.0
2019-02-01,636.0
2019-03-01,2171.0
2019-04-01,3468.0
2019-05-01,1195.0
2019-06-01,4074.0
2019-07-01,9995.0
2019-08-01,816.0
2019-09-01,1942.0
2019-10-01,3509.0
2019-11-01,3634.0
2019-12-01,355.0
2020-01-01,278.0
2020-02-01,1071.0
2020-03-01,2124.0
2020-04-01,952.0
2020-05-01,789.0
2020-06-01,1959.0
2020-07-01,702.0
2020-08-01,326.0
2020-09-01,2536.0
2020-10-01,851.0
2020-11-01,4491.0
2020-12-01,4657.0
