ds,y
2017-01-01,2841.0
2017-02-01,660.0
2017-03-01,2611.0
2017-04-01,259.0
2017-05-01,12806.0
2017-06-01,2950.0
2017-07-01,4025.0
2017-08-01,1530.0
2017-09-01,1223.0
2017-10-01,812.0
2017-11-01,1625.0
2017-12-01,822.0
2018-01-01,2549.0
2018-02-01,2279.0
2018-03-01,3114.0
2018-04-01,2360.0
2018-05-01,724.0
2018-06-01,1726.0
2018-07-01,6062.0
2018-08-01,1125.0
2018-09-01,588.0
2018-10-01,5059.0
2018-11-01,9517.0
2018-12-01,1053.0
2019-01-01,189.0
2019-02-01,1030.0
2019-03-01,14681.0
2019-04-01,1261.0
2019-05-01,1756.0
2019-06-01,1200.0
2019-07-01,2236.0
2019-08-01,1497.0
2019-09-01,31436.0
2019-10-01,-7.0
2019-11-01,3585.0
2019-12-01,1935.0
2020-01-01,1150.0
2020-02-01,1869.0
2020-03-01,1587.0
2020-04-01,861.0
2020-05-01,481.0
2020-06-01,1605.0
2020-07-01,1510.0
2020-08-01,3025.0
2020-09-01,808.0
2020-10-01,848.0
2020-11-01,2835.0
2020-12-01,1342.0
