ds,y
2017-01-01,1451.0
2017-02-01,2447.0
2017-03-01,1927.0
2017-04-01,1191.0
2017-05-01,589.0
2017-06-01,9166.0
2017-07-01,1107.0
2017-08-01,2941.0
2017-09-01,747.0
2017-10-01,2338.0
2017-11-01,1010.0
2017-12-01,1876.0
2018-01-01,2468.0
2018-02-01,1137.0
2018-03-01,1365.0
2018-04-01,1320.0
2018-05-01,1872.0
2018-06-01,921.0
2018-07-01,1104.0
2018-08-01,2004.0
2018-09-01,1389.0
2018-10-01,7642.0
2018-11-01,2825.0
2018-12-01,1678.0
2019-01-01,604.0
2019-02-01,971.0
2019-03-01,5514.0
2019-04-01,2744.0
2019-05-01,1554.0
2019-06-01,2020.0
2019-07-01,1500.0
2019-08-01,1271.0
2019-09-01,1838.0
2019-10-01,2830.0
2019-11-01,2610.0
2019-12-01,3111.0
2020-01-01,1079.0
2020-02-01,958.0
2020-03-01,886.0
2020-04-01,2213.0
2020-05-01,1955.0
2020-06-01,681.0
2020-07-01,2081.0
2020-08-01,1026.0
2020-09-01,2578.0
2020-10-01,359.0
2020-11-01,1712.0
2020-12-01,2805.0
