ds,y
2017-01-01,538.0
2017-02-01,2588.0
2017-03-01,5257.0
2017-04-01,2816.0
2017-05-01,716.0
2017-06-01,1079.0
2017-07-01,860.0
2017-08-01,600.0
2017-09-01,1367.0
2017-10-01,1573.0
2017-11-01,429.0
2017-12-01,6751.0
2018-01-01,-206.0
2018-02-01,3336.0
2018-03-01,11079.0
2018-04-01,1575.0
2018-05-01,579.0
2018-06-01,1675.0
2018-07-01,1812.0
2018-08-01,1227.0
2018-09-01,1557.0
2018-10-01,7313.0
2018-11-01,1838.0
2018-12-01,1042.0
2019-01-01,205.0
2019-02-01,920.0
2019-03-01,3142.0
2019-04-01,1066.0
2019-05-01,448.0
2019-06-01,1183.0
2019-07-01,1264.0
2019-08-01,1347.0
2019-09-01,1970.0
2019-10-01,1040.0
2019-11-01,4667.0
2019-12-01,2649.0
2020-01-01,1053.0
2020-02-01,2791.0
2020-03-01,966.0
2020-04-01,306.0
2020-05-01,273.0
2020-06-01,2389.0
2020-07-01,3379.0
2020-08-01,1721.0
2020-09-01,4310.0
2020-10-01,503.0
2020-11-01,508.0
2020-12-01,13891.0
