ds,y
2017-01-01,735.0
2017-02-01,3102.0
2017-03-01,3731.0
2017-04-01,651.0
2017-05-01,747.0
2017-06-01,984.0
2017-07-01,2450.0
2017-08-01,1144.0
2017-09-01,2373.0
2017-10-01,4414.0
2017-11-01,1054.0
2017-12-01,3916.0
2018-01-01,2040.0
2018-02-01,2984.0
2018-03-01,1635.0
2018-04-01,1196.0
2018-05-01,2317.0
2018-06-01,2649.0
2018-07-01,960.0
2018-08-01,1589.0
2018-09-01,817.0
2018-10-01,3939.0
2018-11-01,1513.0
2018-12-01,514.0
2019-01-01,220.0
2019-02-01,611.0
2019-03-01,1774.0
2019-04-01,4446.0
2019-05-01,1981.0
2019-06-01,2227.0
2019-07-01,1180.0
2019-08-01,1729.0
2019-09-01,756.0
2019-10-01,4037.0
2019-11-01,817.0
2019-12-01,1849.0
2020-01-01,497.0
2020-02-01,2912.0
2020-03-01,6033.0
2020-04-01,2531.0
2020-05-01,656.0
2020-06-01,1230.0
2020-07-01,5140.0
2020-08-01,2054.0
2020-09-01,1294.0
2020-10-01,1910.0
2020-11-01,4303.0
2020-12-01,2669.0
