ds,y
2017-01-01,877.0
2017-02-01,912.0
2017-03-01,3031.0
2017-04-01,490.0
2017-05-01,2065.0
2017-06-01,3400.0
2017-07-01,4187.0
2017-08-01,545.0
2017-09-01,1819.0
2017-10-01,7054.0
2017-11-01,482.0
2017-12-01,12683.0
2018-01-01,16537.0
2018-02-01,1345.0
2018-03-01,1875.0
2018-04-01,1560.0
2018-05-01,1057.0
2018-06-01,3204.0
2018-07-01,2802.0
2018-08-01,1096.0
2018-09-01,1923.0
2018-10-01,6609.0
2018-11-01,3089.0
2018-12-01,1223.0
2019-01-01,223.0
2019-02-01,8030.0
2019-03-01,2072.0
2019-04-01,1077.0
2019-05-01,-219.0
2019-06-01,4655.0
2019-07-01,2893.0
2019-08-01,1793.0
2019-09-01,433.0
2019-10-01,1271.0
2019-11-01,908.0
2019-12-01,2993.0
2020-01-01,1421.0
2020-02-01,3000.0
2020-03-01,2726.0
2020-04-01,6484.0
2020-05-01,1080.0
2020-06-01,2498.0
2020-07-01,2759.0
2020-08-01,876.0
2020-09-01,1768.0
2020-10-01,636.0
2020-11-01,5945.0
2020-12-01,469.0
