ds,y
2017-01-01,420.0
2017-02-01,1442.0
2017-03-01,921.0
2017-04-01,420.0
2017-05-01,3641.0
2017-06-01,1029.0
2017-07-01,1353.0
2017-08-01,514.0
2017-09-01,1026.0
2017-10-01,3012.0
2017-11-01,4509.0
2017-12-01,1592.0
2018-01-01,2331.0
2018-02-01,1180.0
2018-03-01,5044.0
2018-04-01,3725.0
2018-05-01,2131.0
2018-06-01,3246.0
2018-07-01,3871.0
2018-08-01,17227.0
2018-09-01,1703.0
2018-10-01,3348.0
2018-11-01,1648.0
2018-12-01,2849.0
2019-01-01,2053.0
2019-02-01,1425.0
2019-03-01,2745.0
2019-04-01,398.0
2019-05-01,1166.0
2019-06-01,3109.0
2019-07-01,8182.0
2019-08-01,481.0
2019-09-01,5074.0
2019-10-01,1101.0
2019-11-01,2895.0
2019-12-01,2343.0
2020-01-01,1604.0
2020-02-01,932.0
2020-03-01,776.0
2020-04-01,1718.0
2020-05-01,517.0
2020-06-01,2519.0
2020-07-01,3960.0
2020-08-01,414.0
2020-09-01,6234.0
2020-10-01,567.0
2020-11-01,1341.0
2020-12-01,1017.0
