ds,y
2017-01-01,1230.0
2017-02-01,3568.0
2017-03-01,2549.0
2017-04-01,672.0
2017-05-01,2746.0
2017-06-01,1579.0
2017-07-01,1850.0
2017-08-01,1062.0
2017-09-01,1673.0
2017-10-01,900.0
2017-11-01,2362.0
2017-12-01,3313.0
2018-01-01,941.0
2018-02-01,2624.0
2018-03-01,4519.0
2018-04-01,2333.0
2018-05-01,3006.0
2018-06-01,3835.0
2018-07-01,5862.0
2018-08-01,1695.0
2018-09-01,1369.0
2018-10-01,1798.0
2018-11-01,17499.0
2018-12-01,2947.0
2019-01-01,501.0
2019-02-01,2524.0
2019-03-01,7966.0
2019-04-01,3041.0
2019-05-01,1392.0
2019-06-01,1722.0
2019-07-01,627.0
2019-08-01,2676.0
2019-09-01,7051.0
2019-10-01,1093.0
2019-11-01,2485.0
2019-12-01,1209.0
2020-01-01,1094.0
2020-02-01,1008.0
2020-03-01,683.0
2020-04-01,2273.0
2020-05-01,1999.0
2020-06-01,2238.0
2020-07-01,766.0
2020-08-01,1463.0
2020-09-01,2244.0
2020-10-01,840.0
2020-11-01,3931.0
2020-12-01,2075.0
