ds,y
2017-01-01,347.0
2017-02-01,987.0
2017-03-01,635.0
2017-04-01,2116.0
2017-05-01,22079.0
2017-06-01,1843.0
2017-07-01,6074.0
2017-08-01,1290.0
2017-09-01,589.0
2017-10-01,2201.0
2017-11-01,2475.0
2017-12-01,883.0
2018-01-01,2702.0
2018-02-01,1386.0
2018-03-01,1877.0
2018-04-01,1249.0
2018-05-01,581.0
2018-06-01,2085.0
2018-07-01,1548.0
2018-08-01,712.0
2018-09-01,1770.0
2018-10-01,2062.0
2018-11-01,6526.0
2018-12-01,835.0
2019-01-01,520.0
2019-02-01,1111.0
2019-03-01,974.0
2019-04-01,434.0
2019-05-01,801.0
2019-06-01,3634.0
2019-07-01,3708.0
2019-08-01,3514.0
2019-09-01,5667.0
2019-10-01,1403.0
2019-11-01,1836.0
2019-12-01,2450.0
2020-01-01,3615.0
2020-02-01,3224.0
2020-03-01,1358.0
2020-04-01,523.0
2020-05-01,310.0
2020-06-01,2486.0
2020-07-01,5767.0
2020-08-01,645.0
2020-09-01,1457.0
2020-10-01,1126.0
2020-11-01,1687.0
2020-12-01,6806.0
