ds,y
2017-01-01,1393.0
2017-02-01,2112.0
2017-03-01,9633.0
2017-04-01,3237.0
2017-05-01,227.0
2017-06-01,997.0
2017-07-01,2457.0
2017-08-01,2559.0
2017-09-01,10819.0
2017-10-01,604.0
2017-11-01,3414.0
2017-12-01,1607.0
2018-01-01,2145.0
2018-02-01,1386.0
2018-03-01,1768.0
2018-04-01,2609.0
2018-05-01,1095.0
2018-06-01,1722.0
2018-07-01,-801.0
2018-08-01,4503.0
2018-09-01,2523.0
2018-10-01,4050.0
2018-11-01,5203.0
2018-12-01,4047.0
2019-01-01,444.0
2019-02-01,2714.0
2019-03-01,2836.0
2019-04-01,1051.0
2019-05-01,4708.0
2019-06-01,984.0
2019-07-01,2924.0
2019-08-01,1396.0
2019-09-01,204.0
2019-10-01,1325.0
2019-11-01,1651.0
2019-12-01,420.0
2020-01-01,2055.0
2020-02-01,4382.0
2020-03-01,469.0
2020-04-01,1855.0
2020-05-01,775.0
2020-06-01,1815.0
2020-07-01,2258.0
2020-08-01,577.0
2020-09-01,1586.0
2020-10-01,281.0
2020-11-01,1566.0
2020-12-01,3568.0
