ds,y
2017-01-01,808.0
2017-02-01,3594.0
2017-03-01,1574.0
2017-04-01,1507.0
2017-05-01,2517.0
2017-06-01,945.0
2017-07-01,1723.0
2017-08-01,933.0
2017-09-01,4143.0
2017-10-01,2006.0
2017-11-01,707.0
2017-12-01,1280.0
2018-01-01,2516.0
2018-02-01,4243.0
2018-03-01,4585.0
2018-04-01,1066.0
2018-05-01,789.0
2018-06-01,7172.0
2018-07-01,5142.0
2018-08-01,2900.0
2018-09-01,617.0
2018-10-01,1294.0
2018-11-01,5154.0
2018-12-01,970.0
2019-01-01,1136.0
2019-02-01,1525.0
2019-03-01,1255.0
2019-04-01,878.0
2019-05-01,2865.0
2019-06-01,889.0
2019-07-01,839.0
2019-08-01,2092.0
2019-09-01,2728.0
2019-10-01,1445.0
2019-11-01,2140.0
2019-12-01,5458.0
2020-01-01,4634.0
2020-02-01,2658.0
2020-03-01,316.0
2020-04-01,257.0
2020-05-01,18942.0
2020-06-01,622.0
2020-07-01,2306.0
2020-08-01,1043.0
2020-09-01,506.0
2020-10-01,278.0
2020-11-01,5377.0
2020-12-01,1557.0
