ds,y
2017-01-01,3055.0
2017-02-01,1049.0
2017-03-01,1774.0
2017-04-01,981.0
2017-05-01,2558.0
2017-06-01,1442.0
2017-07-01,4522.0
2017-08-01,747.0
2017-09-01,4873.0
2017-10-01,1185.0
2017-11-01,516.0
2017-12-01,3726.0
2018-01-01,5789.0
2018-02-01,1350.0
2018-03-01,2101.0
2018-04-01,1236.0
2018-05-01,1637.0
2018-06-01,1957.0
2018-07-01,1053.0
2018-08-01,1583.0
2018-09-01,3108.0
2018-10-01,2142.0
2018-11-01,2750.0
2018-12-01,518.0
2019-01-01,664.0
2019-02-01,4666.0
2019-03-01,1435.0
2019-04-01,10508.0
2019-05-01,1018.0
2019-06-01,1028.0
2019-07-01,8083.0
2019-08-01,59076.0
2019-09-01,5009.0
2019-10-01,2219.0
2019-11-01,953.0
2019-12-01,1224.0
2020-01-01,2112.0
2020-02-01,626.0
2020-03-01,3407.0
2020-04-01,1037.0
2020-05-01,2068.0
2020-06-01,4815.0
2020-07-01,1303.0
2020-08-01,1773.0
2020-09-01,1184.0
2020-10-01,5528.0
2020-11-01,2638.0
2020-12-01,3170.0
