ds,y
2017-01-01,2250.0
2017-02-01,467.0
2017-03-01,1466.0
2017-04-01,3824.0
2017-05-01,1101.0
2017-06-01,2557.0
2017-07-01,2334.0
2017-08-01,2292.0
2017-09-01,1819.0
2017-10-01,1686.0
2017-11-01,5022.0
2017-12-01,8834.0
2018-01-01,1328.0
2018-02-01,3497.0
2018-03-01,2156.0
2018-04-01,1474.0
2018-05-01,1325.0
2018-06-01,1168.0
2018-07-01,4519.0
2018-08-01,2332.0
2018-09-01,3129.0
2018-10-01,4751.0
2018-11-01,3662.0
2018-12-01,1371.0
2019-01-01,835.0
2019-02-01,1400.0
2019-03-01,843.0
2019-04-01,1394.0
2019-05-01,5124.40703517588
2019-06-01,2277.0
2019-07-01,1646.0
2019-08-01,1068.0
2019-09-01,1034.0
2019-10-01,342.0
2019-11-01,1774.0
2019-12-01,634.2040816326531
2020-01-01,1159.0
2020-02-01,3373.0
2020-03-01,1726.0
2020-04-01,1045.0
2020-05-01,3555.0
2020-06-01,3841.0
2020-07-01,2927.0
2020-08-01,5572.0
2020-09-01,2569.0
2020-10-01,10944.0
2020-11-01,4961.0
2020-12-01,2352.0
