ds,y
2017-01-01,885.0
2017-02-01,429.0
2017-03-01,3480.0
2017-04-01,1333.0
2017-05-01,2109.0
2017-06-01,867.0
2017-07-01,868.0
2017-08-01,2131.0
2017-09-01,710.0
2017-10-01,690.0
2017-11-01,757.0
2017-12-01,1424.0
2018-01-01,798.0
2018-02-01,2410.0
2018-03-01,4250.0
2018-04-01,1975.0
2018-05-01,3235.0
2018-06-01,18521.0
2018-07-01,1568.0
2018-08-01,1848.0
2018-09-01,1415.0
2018-10-01,3083.0
2018-11-01,2303.0
2018-12-01,6348.0
2019-01-01,444.0
2019-02-01,1176.0
2019-03-01,1282.0
2019-04-01,1273.0
2019-05-01,819.0
2019-06-01,2720.0
2019-07-01,1136.0
2019-08-01,1168.0
2019-09-01,8341.0
2019-10-01,2862.0
2019-11-01,4407.0
2019-12-01,1984.0
2020-01-01,968.0
2020-02-01,2186.0
2020-03-01,1509.0
2020-04-01,4376.0
2020-05-01,1100.0
2020-06-01,4351.0
2020-07-01,692.0
2020-08-01,1936.0
2020-09-01,2449.0
2020-10-01,4047.0
2020-11-01,4632.0
2020-12-01,4137.0
