ds,y
2017-01-01,349.0
2017-02-01,424.0
2017-03-01,973.0
2017-04-01,3898.0
2017-05-01,947.0
2017-06-01,1113.0
2017-07-01,1572.0
2017-08-01,504.0
2017-09-01,1227.0
2017-10-01,1121.0
2017-11-01,1389.0
2017-12-01,1389.0
2018-01-01,2183.0
2018-02-01,1472.0
2018-03-01,3557.0
2018-04-01,22547.0
2018-05-01,646.0
2018-06-01,7389.0
2018-07-01,1229.0
2018-08-01,2598.0
2018-09-01,2652.0
2018-10-01,2534.0
2018-11-01,3912.0
2018-12-01,5269.0
2019-01-01,806.0
2019-02-01,617.0
2019-03-01,1009.0
2019-04-01,1578.0
2019-05-01,956.0
2019-06-01,734.0
2019-07-01,1195.0
2019-08-01,439.0
2019-09-01,1491.0
2019-10-01,1184.0
2019-11-01,847.0
2019-12-01,1210.0
2020-01-01,1070.0
2020-02-01,1642.0
2020-03-01,1496.0
2020-04-01,383.0
2020-05-01,1274.0
2020-06-01,2012.0
2020-07-01,1575.0
2020-08-01,1532.0
2020-09-01,1088.0
2020-10-01,7949.0
2020-11-01,856.0
2020-12-01,1101.0
