ds,y
2017-01-01,590.0
2017-02-01,1402.0
2017-03-01,654.0
2017-04-01,3069.0
2017-05-01,960.0
2017-06-01,9063.0
2017-07-01,1118.0
2017-08-01,1594.0
2017-09-01,3827.0
2017-10-01,1313.0
2017-11-01,3540.0
2017-12-01,1942.0
2018-01-01,1666.0
2018-02-01,3798.0
2018-03-01,2772.0
2018-04-01,3755.0
2018-05-01,3921.0
2018-06-01,11176.0
2018-07-01,3481.0
2018-08-01,636.0
2018-09-01,3872.0
2018-10-01,3488.0
2018-11-01,7491.0
2018-12-01,1061.0
2019-01-01,518.0
2019-02-01,3755.0
2019-03-01,3058.0
2019-04-01,745.0
2019-05-01,1932.0
2019-06-01,3196.0
2019-07-01,1248.0
2019-08-01,1118.0
2019-09-01,2578.0
2019-10-01,3899.0
2019-11-01,2621.0
2019-12-01,574.0
2020-01-01,613.0
2020-02-01,661.0
2020-03-01,2343.0
2020-04-01,1588.0
2020-05-01,390.0
2020-06-01,5692.0
2020-07-01,2641.0
2020-08-01,1343.0
2020-09-01,1156.0
2020-10-01,575.0
2020-11-01,1929.0
2020-12-01,593.0
