ds,y
2017-01-01,1034.0
2017-02-01,376.0
2017-03-01,1586.0
2017-04-01,312.0
2017-05-01,3291.0
2017-06-01,771.0
2017-07-01,576.0
2017-08-01,1609.0
2017-09-01,1714.0
2017-10-01,1033.0
2017-11-01,3485.0
2017-12-01,1082.0
2018-01-01,741.0
2018-02-01,6880.0
2018-03-01,2976.0
2018-04-01,9572.0
2018-05-01,649.0
2018-06-01,1700.0
2018-07-01,5719.0
2018-08-01,1372.0
2018-09-01,4004.0
2018-10-01,1759.0
2018-11-01,2150.0
2018-12-01,706.0
2019-01-01,727.0
2019-02-01,730.0
2019-03-01,1237.0
2019-04-01,552.0
2019-05-01,1654.0
2019-06-01,2398.0
2019-07-01,3832.0
2019-08-01,5130.0
2019-09-01,696.0
2019-10-01,1151.0
2019-11-01,2129.0
2019-12-01,845.0
2020-01-01,649.0
2020-02-01,3503.0
2020-03-01,696.0
2020-04-01,1161.0
2020-05-01,5399.0
2020-06-01,2286.0
2020-07-01,5295.0
2020-08-01,995.0
2020-09-01,1134.0
2020-10-01,784.0
2020-11-01,460.0
2020-12-01,1347.0
