ds,y
2017-01-01,2756.0
2017-02-01,3211.0
2017-03-01,1558.0
2017-04-01,1517.0
2017-05-01,673.0
2017-06-01,1506.0
2017-07-01,3191.0
2017-08-01,1941.0
2017-09-01,2615.0
2017-10-01,1096.0
2017-11-01,1822.0
2017-12-01,2001.0
2018-01-01,2843.0
2018-02-01,2951.0
2018-03-01,1004.0
2018-04-01,2373.0
2018-05-01,1495.0
2018-06-01,4757.0
2018-07-01,15332.0
2018-08-01,1253.0
2018-09-01,1761.0
2018-10-01,5257.0
2018-11-01,2228.0
2018-12-01,2031.0
2019-01-01,1231.0
2019-02-01,2543.0
2019-03-01,4477.0
2019-04-01,782.0
2019-05-01,2151.0
2019-06-01,1550.0
2019-07-01,7740.0
2019-08-01,1178.0
2019-09-01,945.0
2019-10-01,508.0
2019-11-01,1648.0
2019-12-01,1249.0
2020-01-01,700.0
2020-02-01,3100.0
2020-03-01,4115.0
2020-04-01,1537.0
2020-05-01,806.0
2020-06-01,1921.0
2020-07-01,755.0
2020-08-01,953.0
2020-09-01,2381.0
2020-10-01,2613.0
2020-11-01,3677.0
2020-12-01,1032.0
