ds,y
2017-01-01,789.0
2017-02-01,1325.0
2017-03-01,1873.0
2017-04-01,1994.0
2017-05-01,6146.0
2017-06-01,1514.0
2017-07-01,2827.0
2017-08-01,933.0
2017-09-01,7507.0
2017-10-01,1890.0
2017-11-01,2592.0
2017-12-01,329.0
2018-01-01,621.0
2018-02-01,3952.0
2018-03-01,4743.0
2018-04-01,1037.0
2018-05-01,2508.0
2018-06-01,8677.0
2018-07-01,1397.0
2018-08-01,4410.0
2018-09-01,1319.0
2018-10-01,3941.0
2018-11-01,4303.0
2018-12-01,2617.0
2019-01-01,549.0
2019-02-01,1561.0
2019-03-01,1491.0
2019-04-01,604.0
2019-05-01,3214.0
2019-06-01,3690.0
2019-07-01,3546.0
2019-08-01,1538.0
2019-09-01,1326.0
2019-10-01,1059.0
2019-11-01,718.0
2019-12-01,1978.0
2020-01-01,914.0
2020-02-01,2651.0
2020-03-01,672.0
2020-04-01,2734.0
2020-05-01,469.0
2020-06-01,1555.0
2020-07-01,555.0
2020-08-01,1361.0
2020-09-01,350.0
2020-10-01,4221.0
2020-11-01,3598.0
2020-12-01,948.0
