ds,y
2017-01-01,536.0
2017-02-01,2024.0
2017-03-01,3526.0
2017-04-01,1429.0
2017-05-01,759.0
2017-06-01,1615.0
2017-07-01,3096.0
2017-08-01,1858.0
2017-09-01,4459.0
2017-10-01,644.0
2017-11-01,3820.0
2017-12-01,355.0
2018-01-01,2885.0
2018-02-01,2932.0
2018-03-01,1513.0
2018-04-01,702.0
2018-05-01,1750.0
2018-06-01,1621.0
2018-07-01,2430.0
2018-08-01,5719.0
2018-09-01,1205.0
2018-10-01,5715.0
2018-11-01,2905.0
2018-12-01,1132.0
2019-01-01,2404.0
2019-02-01,1853.0
2019-03-01,1698.0
2019-04-01,447.0
2019-05-01,3886.0
2019-06-01,405.0
2019-07-01,3552.0
2019-08-01,60683.0
2019-09-01,1727.0
2019-10-01,263.0
2019-11-01,6910.0
2019-12-01,4192.0
2020-01-01,2839.0
2020-02-01,2272.0
2020-03-01,1247.0
2020-04-01,346.0
2020-05-01,1937.0
2020-06-01,934.0
2020-07-01,2760.0
2020-08-01,1661.0
2020-09-01,2184.0
2020-10-01,3630.0
2020-11-01,957.0
2020-12-01,3174.0
