ds,y
2017-01-01,2821.0
2017-02-01,6701.0
2017-03-01,2549.0
2017-04-01,10316.0
2017-05-01,372.0
2017-06-01,1243.0
2017-07-01,941.0
2017-08-01,2527.0
2017-09-01,3210.0
2017-10-01,2200.0
2017-11-01,3874.0
2017-12-01,1287.0
2018-01-01,12764.0
2018-02-01,1404.0
2018-03-01,2536.0
2018-04-01,841.0
2018-05-01,3016.0
2018-06-01,7478.0
2018-07-01,2459.0
2018-08-01,1414.0
2018-09-01,1188.0
2018-10-01,7300.0
2018-11-01,2614.0
2018-12-01,1290.0
2019-01-01,287.0
2019-02-01,2398.0
2019-03-01,7194.0
2019-04-01,1990.0
2019-05-01,1896.0
2019-06-01,2064.0
2019-07-01,1839.0
2019-08-01,1952.0
2019-09-01,401.0
2019-10-01,283.0
2019-11-01,2803.0
2019-12-01,1181.0
2020-01-01,384.0
2020-02-01,4396.0
2020-03-01,4862.0
2020-04-01,42.0
2020-05-01,6843.0
2020-06-01,518.0
2020-07-01,1444.0
2020-08-01,1119.0
2020-09-01,817.0
2020-10-01,531.0
2020-11-01,759.0
2020-12-01,5523.0
