ds,y
2017-01-01,922.0
2017-02-01,507.0
2017-03-01,908.0
2017-04-01,570.0
2017-05-01,2819.0
2017-06-01,3846.0
2017-07-01,612.0
2017-08-01,1283.0
2017-09-01,369.0
2017-10-01,1177.0
2017-11-01,6465.0
2017-12-01,1124.0
2018-01-01,2560.0
2018-02-01,2367.0
2018-03-01,2017.0
2018-04-01,3256.0
2018-05-01,1864.0
2018-06-01,2459.0
2018-07-01,2003.0
2018-08-01,1064.0
2018-09-01,4094.0
2018-10-01,1246.0
2018-11-01,1342.0
2018-12-01,3280.0
2019-01-01,915.0
2019-02-01,2803.0
2019-03-01,1907.0
2019-04-01,1100.0
2019-05-01,3320.0
2019-06-01,1024.0
2019-07-01,1779.0
2019-08-01,3237.0
2019-09-01,4499.0
2019-10-01,1952.0
2019-11-01,7909.0
2019-12-01,1261.0
2020-01-01,1412.0
2020-02-01,4433.0
2020-03-01,372.0
2020-04-01,1212.0
2020-05-01,328.0
2020-06-01,244.0
2020-07-01,1446.0
2020-08-01,1773.0
2020-09-01,1727.0
2020-10-01,1778.0
2020-11-01,4095.0
2020-12-01,1052.0
