ds,y
2017-01-01,1959.0
2017-02-01,785.0
2017-03-01,2749.0
2017-04-01,735.0
2017-05-01,992.0
2017-06-01,6492.0
2017-07-01,3997.0
2017-08-01,3012.0
2017-09-01,791.0
2017-10-01,702.0
2017-11-01,2156.0
2017-12-01,6292.0
2018-01-01,1603.0
2018-02-01,1441.0
2018-03-01,1324.0
2018-04-01,1451.0
2018-05-01,1673.0
2018-06-01,756.0
2018-07-01,2317.0
2018-08-01,809.0
2018-09-01,6776.0
2018-10-01,8659.0
2018-11-01,3350.0
2018-12-01,8576.0
2019-01-01,294.0
2019-02-01,1847.0
2019-03-01,2826.0
2019-04-01,460.0
2019-05-01,2032.0
2019-06-01,1129.0
2019-07-01,1551.0
2019-08-01,4131.0
2019-09-01,1296.0
2019-10-01,985.0
2019-11-01,2469.0
2019-12-01,986.0
2020-01-01,4258.0
2020-02-01,2178.0
2020-03-01,3147.0
2020-04-01,1117.0
2020-05-01,991.0
2020-06-01,1901.0
2020-07-01,1298.0
2020-08-01,4284.0
2020-09-01,1314.0
2020-10-01,294.0
2020-11-01,2632.0
2020-12-01,1925.0
