ds,y
2017-01-01,885.0
2017-02-01,2528.0
2017-03-01,2957.0
2017-04-01,2680.0
2017-05-01,2622.0
2017-06-01,1927.0
2017-07-01,735.0
2017-08-01,1473.0
2017-09-01,1158.0
2017-10-01,907.0
2017-11-01,1388.0
2017-12-01,1113.0
2018-01-01,885.0
2018-02-01,2943.0
2018-03-01,3085.0
2018-04-01,11999.0
2018-05-01,2118.0
2018-06-01,3304.0
2018-07-01,5708.0
2018-08-01,2002.0
2018-09-01,2214.0
2018-10-01,3007.0
2018-11-01,5687.0
2018-12-01,1205.0
2019-01-01,2629.0
2019-02-01,4961.0
2019-03-01,1360.0
2019-04-01,413.0
2019-05-01,732.0
2019-06-01,955.0
2019-07-01,1704.0
2019-08-01,11971.0
2019-09-01,812.0
2019-10-01,795.0
2019-11-01,3283.0
2019-12-01,1161.0
2020-01-01,964.0
2020-02-01,1253.0
2020-03-01,2161.0
2020-04-01,700.0
2020-05-01,1669.0
2020-06-01,2586.0
2020-07-01,482.0
2020-08-01,25419.0
2020-09-01,-781.0
2020-10-01,1723.0
2020-11-01,1555.0
2020-12-01,592.0
