ds,y
2017-01-01,252.0
2017-02-01,1171.0
2017-03-01,6865.0
2017-04-01,964.0
2017-05-01,4223.0
2017-06-01,3037.0
2017-07-01,16436.0
2017-08-01,2866.0
2017-09-01,2101.0
2017-10-01,4208.0
2017-11-01,3340.0
2017-12-01,1738.0
2018-01-01,496.0
2018-02-01,4034.0
2018-03-01,3457.0
2018-04-01,965.0
2018-05-01,1168.0
2018-06-01,2048.0
2018-07-01,1752.0
2018-08-01,1366.0
2018-09-01,21592.0
2018-10-01,2307.0
2018-11-01,2981.0
2018-12-01,2388.0
2019-01-01,2421.0
2019-02-01,2257.0
2019-03-01,3085.0
2019-04-01,5208.0
2019-05-01,560.0
2019-06-01,11611.0
2019-07-01,953.0
2019-08-01,822.0
2019-09-01,1569.0
2019-10-01,1556.0
2019-11-01,6402.0
2019-12-01,1179.0
2020-01-01,2766.0
2020-02-01,1915.0
2020-03-01,2852.0
2020-04-01,1390.0
2020-05-01,1244.0
2020-06-01,409.0
2020-07-01,674.0
2020-08-01,1828.0
2020-09-01,1807.0
2020-10-01,814.0
2020-11-01,3100.0
2020-12-01,2184.0
