ds,y
2017-01-01,1483.0
2017-02-01,2274.0
2017-03-01,2502.0
2017-04-01,3225.0
2017-05-01,1156.0
2017-06-01,1493.0
2017-07-01,3877.0
2017-08-01,3321.0
2017-09-01,18393.0
2017-10-01,313.0
2017-11-01,2736.0
2017-12-01,2276.0
2018-01-01,1175.0
2018-02-01,12003.0
2018-03-01,644.0
2018-04-01,2177.0
2018-05-01,15284.0
2018-06-01,2073.0
2018-07-01,6320.0
2018-08-01,6653.0
2018-09-01,1035.0
2018-10-01,5805.0
2018-11-01,1267.0
2018-12-01,538.0
2019-01-01,951.0
2019-02-01,1092.0
2019-03-01,483.0
2019-04-01,1373.0
2019-05-01,4913.210862619808
2019-06-01,608.31
2019-07-01,2431.0
2019-08-01,1410.0
2019-09-01,692.0
2019-10-01,1733.0
2019-11-01,786.0
2019-12-01,1418.0
2020-01-01,1646.0
2020-02-01,1130.0
2020-03-01,2729.0
2020-04-01,1372.0
2020-05-01,728.0
2020-06-01,488.0
2020-07-01,2571.0
2020-08-01,3038.0
2020-09-01,485.0
2020-10-01,1763.0
2020-11-01,2998.0
2020-12-01,7510.0
