ds,y
2017-01-01,1053.0
2017-02-01,557.0
2017-03-01,1449.0
2017-04-01,584.0
2017-05-01,2056.0
2017-06-01,1226.0
2017-07-01,1153.0
2017-08-01,1699.0
2017-09-01,1215.0
2017-10-01,3487.0
2017-11-01,710.0
2017-12-01,879.0
2018-01-01,6474.0
2018-02-01,892.0
2018-03-01,937.0
2018-04-01,1319.0
2018-05-01,2491.0
2018-06-01,1691.0
2018-07-01,3414.0
2018-08-01,2203.0
2018-09-01,1423.0
2018-10-01,6798.0
2018-11-01,4012.0
2018-12-01,650.0
2019-01-01,571.0
2019-02-01,555.0
2019-03-01,1113.0
2019-04-01,697.0
2019-05-01,1304.0
2019-06-01,1664.0
2019-07-01,2086.0
2019-08-01,1677.0
2019-09-01,1851.0
2019-10-01,1429.0
2019-11-01,1538.0
2019-12-01,1470.25
2020-01-01,1910.0
2020-02-01,-43.0
2020-03-01,2040.0
2020-04-01,435.0
2020-05-01,1152.0
2020-06-01,1036.0
2020-07-01,2043.0
2020-08-01,1138.0
2020-09-01,1244.0
2020-10-01,1082.0
2020-11-01,1558.0
2020-12-01,3085.0
