ds,y
2017-01-01,1142.0
2017-02-01,1339.0
2017-03-01,1421.0
2017-04-01,1273.0
2017-05-01,1309.0
2017-06-01,1109.0
2017-07-01,18275.0
2017-08-01,2636.0
2017-09-01,715.0
2017-10-01,3569.0
2017-11-01,2085.0
2017-12-01,546.0
2018-01-01,3435.0
2018-02-01,3948.0
2018-03-01,1284.0
2018-04-01,1501.0
2018-05-01,4141.0
2018-06-01,20886.0
2018-07-01,2257.0
2018-08-01,2035.0
2018-09-01,6405.0
2018-10-01,2308.0
2018-11-01,1896.0
2018-12-01,445.0
2019-01-01,1067.0
2019-02-01,1974.0
2019-03-01,598.0
2019-04-01,5842.0
2019-05-01,1052.0
2019-06-01,809.0
2019-07-01,7773.0
2019-08-01,678.0
2019-09-01,1549.0
2019-10-01,2009.0
2019-11-01,2204.0
2019-12-01,110.0
2020-01-01,1686.0
2020-02-01,1681.0
2020-03-01,535.0
2020-04-01,221.0
2020-05-01,940.0
2020-06-01,1274.0
2020-07-01,2514.0
2020-08-01,953.0
2020-09-01,2227.0
2020-10-01,479.0
2020-11-01,4812.0
2020-12-01,7271.0
