ds,y
2017-01-01,404.0
2017-02-01,5943.0
2017-03-01,1415.0
2017-04-01,1335.0
2017-05-01,893.0
2017-06-01,1994.0
2017-07-01,698.0
2017-08-01,2731.0
2017-09-01,3428.0
2017-10-01,2570.0
2017-11-01,471.0
2017-12-01,339.0
2018-01-01,1706.0
2018-02-01,1771.0
2018-03-01,1974.0
2018-04-01,1504.0
2018-05-01,1349.0
2018-06-01,3800.0
2018-07-01,2171.0
2018-08-01,4792.0
2018-09-01,2297.0
2018-10-01,2553.0
2018-11-01,1457.0
2018-12-01,1279.0
2019-01-01,395.0
2019-02-01,2700.0
2019-03-01,3436.0
2019-04-01,1242.0
2019-05-01,2122.0
2019-06-01,697.0
2019-07-01,1380.0
2019-08-01,1129.0
2019-09-01,2009.0
2019-10-01,967.0
2019-11-01,4147.0
2019-12-01,729.0
2020-01-01,1073.0
2020-02-01,2208.0
2020-03-01,7264.0
2020-04-01,306.0
2020-05-01,5452.0
2020-06-01,6618.0
2020-07-01,246.0
2020-08-01,1884.0
2020-09-01,730.0
2020-10-01,861.0
2020-11-01,6592.0
2020-12-01,3099.0
