ds,y
2017-01-01,679.0
2017-02-01,6989.0
2017-03-01,1534.0
2017-04-01,1454.0
2017-05-01,1021.0
2017-06-01,6279.0
2017-07-01,2213.0
2017-08-01,1060.0
2017-09-01,1509.0
2017-10-01,400.0
2017-11-01,2344.0
2017-12-01,1607.0
2018-01-01,3082.0
2018-02-01,2548.0
2018-03-01,1187.0
2018-04-01,1749.0
2018-05-01,459.0
2018-06-01,1435.0
2018-07-01,6438.0
2018-08-01,675.0
2018-09-01,1836.0
2018-10-01,1312.0
2018-11-01,1931.0
2018-12-01,6253.0
2019-01-01,295.0
2019-02-01,938.0
2019-03-01,1356.0
2019-04-01,284.0
2019-05-01,1571.0
2019-06-01,1061.0
2019-07-01,1637.0
2019-08-01,1129.0
2019-09-01,5388.0
2019-10-01,358.0
2019-11-01,1354.0
2019-12-01,4156.0
2020-01-01,587.0
2020-02-01,4179.0
2020-03-01,5468.0
2020-04-01,1125.0
2020-05-01,2249.0
2020-06-01,3936.0
2020-07-01,601.0
2020-08-01,199.0
2020-09-01,2877.0
2020-10-01,478.0
2020-11-01,38725.0
2020-12-01,2668.0
