ds,y
2017-01-01,504.0
2017-02-01,2818.0
2017-03-01,2020.0
2017-04-01,1853.0
2017-05-01,1040.0
2017-06-01,737.0
2017-07-01,646.0
2017-08-01,1910.0
2017-09-01,620.0
2017-10-01,4678.0
2017-11-01,1166.0
2017-12-01,10756.0
2018-01-01,4164.0
2018-02-01,4649.0
2018-03-01,5217.0
2018-04-01,887.0
2018-05-01,1969.0
2018-06-01,1768.0
2018-07-01,2981.0
2018-08-01,2118.0
2018-09-01,3397.0
2018-10-01,2358.0
2018-11-01,3287.0
2018-12-01,2357.0
2019-01-01,1776.0
2019-02-01,8253.0
2019-03-01,1863.0
2019-04-01,349.0
2019-05-01,1250.0
2019-06-01,8433.0
2019-07-01,1603.0
2019-08-01,1544.0
2019-09-01,1910.0
2019-10-01,3846.0
2019-11-01,2533.0
2019-12-01,394.0
2020-01-01,304.0
2020-02-01,622.0
2020-03-01,479.0
2020-04-01,104.0
2020-05-01,6210.0
2020-06-01,1243.0
2020-07-01,3480.0
2020-08-01,1636.0
2020-09-01,3906.0
2020-10-01,6461.0
2020-11-01,10804.0
2020-12-01,1973.0
