ds,y
2017-01-01,906.0
2017-02-01,1000.0
2017-03-01,7368.0
2017-04-01,644.0
2017-05-01,1092.0
2017-06-01,2264.0
2017-07-01,3003.0
2017-08-01,1886.0
2017-09-01,9578.0
2017-10-01,381.0
2017-11-01,842.0
2017-12-01,10970.0
2018-01-01,2036.0
2018-02-01,1071.0
2018-03-01,5737.0
2018-04-01,4066.0
2018-05-01,2291.0
2018-06-01,2881.0
2018-07-01,3409.0
2018-08-01,1463.0
2018-09-01,918.0
2018-10-01,2155.0
2018-11-01,3368.0
2018-12-01,831.0
2019-01-01,1051.0
2019-02-01,4744.0
2019-03-01,4188.0
2019-04-01,3819.0
2019-05-01,3953.0
2019-06-01,3001.0
2019-07-01,1090.0
2019-08-01,1971.0
2019-09-01,1526.0
2019-10-01,435.0
2019-11-01,1986.0
2019-12-01,490.0
2020-01-01,2525.0
2020-02-01,2113.0
2020-03-01,4049.0
2020-04-01,665.0
2020-05-01,892.0
2020-06-01,855.0
2020-07-01,1258.0
2020-08-01,2467.0
2020-09-01,700.0
2020-10-01,741.0
2020-11-01,2081.0
2020-12-01,1111.0
