ds,y
2017-01-01,2482.0
2017-02-01,3876.0
2017-03-01,1419.0
2017-04-01,3114.0
2017-05-01,2312.0
2017-06-01,1470.0
2017-07-01,449.0
2017-08-01,1805.0
2017-09-01,4369.0
2017-10-01,1958.0
2017-11-01,2127.0
2017-12-01,3276.0
2018-01-01,1642.0
2018-02-01,1667.0
2018-03-01,3039.0
2018-04-01,750.0
2018-05-01,16059.0
2018-06-01,10179.0
2018-07-01,4679.0
2018-08-01,557.0
2018-09-01,315.0
2018-10-01,1954.0
2018-11-01,1306.0
2018-12-01,7607.0
2019-01-01,690.0
2019-02-01,2555.0
2019-03-01,1959.0
2019-04-01,1589.0
2019-05-01,5268.0
2019-06-01,1044.0
2019-07-01,3545.0
2019-08-01,5782.0
2019-09-01,1985.0
2019-10-01,424.0
2019-11-01,7220.0
2019-12-01,135.0
2020-01-01,773.0
2020-02-01,1128.0
2020-03-01,894.0
2020-04-01,2491.0
2020-05-01,3135.0
2020-06-01,1090.0
2020-07-01,529.0
2020-08-01,1211.0
2020-09-01,8682.0
2020-10-01,245.0
2020-11-01,502.0
2020-12-01,6196.0
