ds,y
2017-01-01,977.0
2017-02-01,1383.0
2017-03-01,2501.0
2017-04-01,2564.0
2017-05-01,1301.0
2017-06-01,2643.0
2017-07-01,5205.0
2017-08-01,1324.0
2017-09-01,407.0
2017-10-01,2393.0
2017-11-01,966.0
2017-12-01,4037.0
2018-01-01,1414.0
2018-02-01,2648.0
2018-03-01,1897.0
2018-04-01,1665.0
2018-05-01,3284.0
2018-06-01,3007.0
2018-07-01,1138.0
2018-08-01,1180.0
2018-09-01,2183.0
2018-10-01,1567.0
2018-11-01,2791.0
2018-12-01,1571.0
2019-01-01,592.0
2019-02-01,2874.0
2019-03-01,1188.0
2019-04-01,1697.0
2019-05-01,1620.0
2019-06-01,1390.0
2019-07-01,3201.0
2019-08-01,3149.0
2019-09-01,2880.0
2019-10-01,865.0
2019-11-01,2684.0
2019-12-01,2683.1170568561874
2020-01-01,3446.0
2020-02-01,1843.0
2020-03-01,717.0
2020-04-01,201.0
2020-05-01,2881.0
2020-06-01,1300.0
2020-07-01,1559.0
2020-08-01,1630.0
2020-09-01,4252.0
2020-10-01,122.0
2020-11-01,8077.0
2020-12-01,2491.0
