ds,y
2017-01-01,788.0
2017-02-01,3005.0
2017-03-01,3401.0
2017-04-01,1543.0
2017-05-01,845.0
2017-06-01,4201.0
2017-07-01,8017.0
2017-08-01,16444.0
2017-09-01,1535.0
2017-10-01,2799.0
2017-11-01,2349.0
2017-12-01,2484.0
2018-01-01,11370.0
2018-02-01,1338.0
2018-03-01,540.0
2018-04-01,1154.0
2018-05-01,3171.0
2018-06-01,761.0
2018-07-01,2496.0
2018-08-01,17652.0
2018-09-01,912.0
2018-10-01,6691.0
2018-11-01,2091.0
2018-12-01,2492.0
2019-01-01,1953.0
2019-02-01,2445.0
2019-03-01,3001.0
2019-04-01,587.0
2019-05-01,1065.0
2019-06-01,4742.0
2019-07-01,4244.0
2019-08-01,21642.0
2019-09-01,5048.0
2019-10-01,1157.0
2019-11-01,11121.0
2019-12-01,240.0
2020-01-01,3617.0
2020-02-01,641.0
2020-03-01,593.0
2020-04-01,1412.0
2020-05-01,756.0
2020-06-01,2891.0
2020-07-01,722.0
2020-08-01,1571.0
2020-09-01,679.0
2020-10-01,2067.0
2020-11-01,2193.0
2020-12-01,2777.0
