ds,y
2017-01-01,1330.0
2017-02-01,1471.0
2017-03-01,2754.0
2017-04-01,267.0
2017-05-01,513.0
2017-06-01,1964.0
2017-07-01,3941.0
2017-08-01,1581.0
2017-09-01,1581.0
2017-10-01,783.0
2017-11-01,1157.0
2017-12-01,2629.0
2018-01-01,2888.0
2018-02-01,2389.0
2018-03-01,2146.0
2018-04-01,16363.0
2018-05-01,2799.0
2018-06-01,3427.0
2018-07-01,1852.0
2018-08-01,2109.0
2018-09-01,1125.0
2018-10-01,1891.0
2018-11-01,1233.0
2018-12-01,1068.0
2019-01-01,620.0
2019-02-01,251.0
2019-03-01,1063.0
2019-04-01,1083.0
2019-05-01,1597.0
2019-06-01,5429.0
2019-07-01,1363.0
2019-08-01,2736.0
2019-09-01,4647.0
2019-10-01,1229.0
2019-11-01,3354.0
2019-12-01,8565.715719063544
2020-01-01,657.0
2020-02-01,448.0
2020-03-01,2377.0
2020-04-01,808.0
2020-05-01,1843.0
2020-06-01,5389.0
2020-07-01,6131.0
2020-08-01,1835.0
2020-09-01,5704.0
2020-10-01,629.0
2020-11-01,1102.0
2020-12-01,1007.0
