ds,y
2017-01-01,1235.0
2017-02-01,1893.0
2017-03-01,2946.0
2017-04-01,1403.0
2017-05-01,2271.0
2017-06-01,3827.0
2017-07-01,1609.0
2017-08-01,1463.0
2017-09-01,1719.0
2017-10-01,1219.0
2017-11-01,2122.0
2017-12-01,1975.0
2018-01-01,1097.0
2018-02-01,703.0
2018-03-01,5913.0
2018-04-01,2534.0
2018-05-01,3210.0
2018-06-01,6334.0
2018-07-01,2021.0
2018-08-01,6204.0
2018-09-01,2505.0
2018-10-01,3194.0
2018-11-01,1702.0
2018-12-01,2361.0
2019-01-01,908.0
2019-02-01,1038.0
2019-03-01,2352.0
2019-04-01,952.0
2019-05-01,3446.0
2019-06-01,1229.0
2019-07-01,1386.0
2019-08-01,1316.0
2019-09-01,3626.0
2019-10-01,1007.0
2019-11-01,2217.0
2019-12-01,1598.0
2020-01-01,2013.0
2020-02-01,1104.0
2020-03-01,2461.0
2020-04-01,721.0
2020-05-01,2368.0
2020-06-01,1108.0
2020-07-01,7126.0
2020-08-01,884.0
2020-09-01,917.0
2020-10-01,2277.0
2020-11-01,796.0
2020-12-01,1525.0
